degree,rne,Nom court CFA,Adresse CFA,Complément adresse 1 CFA,Complément adresse 2 CFA,Code INSEE CFA,Lib court ville CFA,Téléphone établissement,Site internet de l'établissement,E-Mail établissement
32031407T,0922673F,CFA de la ACMP,70 rue Marius Aufan,,,92044,LEVALLOIS PERRET,01 44 40 80 45,www.igefi.net,janidia.hermanne@igefi.net
32031407T,0951721E,CFA CCIV - GESCIA,14 place du Cardinal Mercier,,,95210,ENGHIEN LES BAINS,01 30 10 80 95,www.ifa-salvi.fr,pierre.salvi@versailles.cci.fr
32031407T,0951947A,CFA  AFFIDA,84 boulevard Héloïse,,,95018,ARGENTEUIL,01 34 34 11 70,www.cfa-affida.fr,recrutement@affida.org
32032002P,0752944T,CFA IGS,12 rue Alexandre Parodi,,,75110,PARIS,01 80 97 47 00,www.cfa-igs.com,fdaffar@groupe-igs.fr
32032002P,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32032002P,0754679D,CFA SACEF,8 Rue d'Athènes,,,75114,PARIS,01 78 09 88 51,www.cfasacef.fr,contacts@cfasacef.fr
32032002P,0755197S,CFA IMC,5 rue Saint-Denis,,,75101,PARIS,01 53 32 53 00,www.imc-randstad.fr,dehbia.hammouchene@imc.randstad.fr
32032002P,0922379L,CFA PME Apprentissage,42-48 Quai de Dion-Bouton,Le France,,92062,PUTEAUX,01 49 03 71 20,www.agefa.org   (Rubrique Apprentissage),pme-apprentissage@agefa.org
32032002P,0932331D,CFA Com. Multimédia ,80 rue Jules Ferry,,,93006,BAGNOLET,01 55 82 41 51,www.cfacom.org,secretariat@cna-cefag.org
32032204M,0754816C,CFA de l'Edition,21 rue Charles Fourier,,,75113,PARIS,01 45 88 11 24,www.asfored.org,severine.dieuze@asfored.org
32032206S,0754969U,"CFA CCIP - GOBELINS, l'école de l'image",73 boulevard St Marcel,,,75105,PARIS,01 40 79 92 12,www.gobelins.fr,vlable@gobelins.fr
32032207S,0754969U,"CFA CCIP - GOBELINS, l'école de l'image",73 boulevard St Marcel,,,75105,PARIS,01 40 79 92 12,www.gobelins.fr,vlable@gobelins.fr
32032319V,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32032319V,0754969U,"CFA CCIP - GOBELINS, l'école de l'image",73 boulevard St Marcel,,,75105,PARIS,01 40 79 92 12,www.gobelins.fr,vlable@gobelins.fr
32032320V,0783430E,CFA en Mouvement,23 rue Fernand Pelloutier,,,92024,CLICHY,01 41 40 07 95,www.cfa-academique-en-mouvement.fr,cfa.enmouvement@ac-versailles.fr
32032321V,0783430E,CFA en Mouvement,23 rue Fernand Pelloutier,,,92024,CLICHY,01 41 40 07 95,www.cfa-academique-en-mouvement.fr,cfa.enmouvement@ac-versailles.fr
32032321V,0932305A,CFA du Spectacle Vivant et de l'Audiovisuel,92 avenue Galliéni,,,93006,BAGNOLET,01 48 97 25 16,cfaduspectacle@cfpts.com,pferrier@cfpts.com
32032322V,0783430E,CFA en Mouvement,23 rue Fernand Pelloutier,,,92024,CLICHY,01 41 40 07 95,www.cfa-academique-en-mouvement.fr,cfa.enmouvement@ac-versailles.fr
32032322V,0932305A,CFA du Spectacle Vivant et de l'Audiovisuel,92 avenue Galliéni,,,93006,BAGNOLET,01 48 97 25 16,cfaduspectacle@cfpts.com,pferrier@cfpts.com
32032323P,0783430E,CFA en Mouvement,23 rue Fernand Pelloutier,,,92024,CLICHY,01 41 40 07 95,www.cfa-academique-en-mouvement.fr,cfa.enmouvement@ac-versailles.fr
32032324P,0783430E,CFA en Mouvement,23 rue Fernand Pelloutier,,,92024,CLICHY,01 41 40 07 95,www.cfa-academique-en-mouvement.fr,cfa.enmouvement@ac-versailles.fr
32032324P,0932305A,CFA du Spectacle Vivant et de l'Audiovisuel,92 avenue Galliéni,,,93006,BAGNOLET,01 48 97 25 16,cfaduspectacle@cfpts.com,pferrier@cfpts.com
32032326V,0932331D,CFA Com. Multimédia ,80 rue Jules Ferry,,,93006,BAGNOLET,01 55 82 41 51,www.cfacom.org,secretariat@cna-cefag.org
32032327V,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32032327V,0754969U,"CFA CCIP - GOBELINS, l'école de l'image",73 boulevard St Marcel,,,75105,PARIS,01 40 79 92 12,www.gobelins.fr,vlable@gobelins.fr
32032327V,0912119J,CFA EVE,48 Cours Blaise Pascal,,,91228,EVRY,01 60 79 54 00,www.cfa-eve.fr,cfa@cfa-eve.fr
32032327V,0932331D,CFA Com. Multimédia ,80 rue Jules Ferry,,,93006,BAGNOLET,01 55 82 41 51,www.cfacom.org,secretariat@cna-cefag.org
32032408T,0752944T,CFA IGS,12 rue Alexandre Parodi,,,75110,PARIS,01 80 97 47 00,www.cfa-igs.com,fdaffar@groupe-igs.fr
32032408T,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32032408T,0754674Y,CFA ACE,58 rue du Professeur Gosset,,,75118,PARIS,01 49 21 43 40,www.ace-expert.com,c.gourret@ace-expert.com
32032408T,0754679D,CFA SACEF,8 Rue d'Athènes,,,75114,PARIS,01 78 09 88 51,www.cfasacef.fr,contacts@cfasacef.fr
32032408T,0781809T,CFA CCIV - Centre R. DELOROZOY,7 avenue des Trois Peuples,,,78423,MONTIGNY LE BRETONNEUX,01 30 48 80 00,www.ifa.delorozoy.fr,
32032408T,0781897N,CFA CCIV - ITEDEC,21 rue Chantier d'Hérubé,,,78029,AUBERGENVILLE,,www.ifabtp.fr,
32032408T,0783430E,CFA en Mouvement,23 rue Fernand Pelloutier,,,92024,CLICHY,01 41 40 07 95,www.cfa-academique-en-mouvement.fr,cfa.enmouvement@ac-versailles.fr
32032408T,0783593G,CFA V3A,19 avenue du Centre,,,78297,GUYANCOURT,01 30 83 42 60,www.ac-versailles.fr/cfav3a,cfav3a@ac-versailles.fr
32032408T,0912140G,CFA Gustave Eiffel,30 route de Longjumeau,,,91161,CHILLY MAZARIN,01 69 74 15 50,www.centregustaveeiffel.net,centre.gustave.eiffel@centre-gustave-eiffel.com
32032408T,0912267V,CFA FDME,3 Chemin de la Grange Feu Louis,,,91228,EVRY,01 60 79 74 00,www.essonne.fac-metiers.fr,infos@fdme91.fr
32032408T,0922377J,"CFA Commerce, Gestion, Bureautique",3 rue Vaudetard,,,92040,ISSY LES MOULINEAUX,01 41 08 10 12,www.cfa-isifa.fr,jp.lombard@isifa.fr
32032408T,0922379L,CFA PME Apprentissage,42-48 Quai de Dion-Bouton,Le France,,92062,PUTEAUX,01 49 03 71 20,www.agefa.org   (Rubrique Apprentissage),pme-apprentissage@agefa.org
32032408T,0922594V,CFA C3 CFA,101 rue de la Fontaine Grelot,,,92002,ANTONY,01 42 37 18 71,www.c3cfa.com,contact@c3cfa.com
32032408T,0942202H,CFA de l'Académie de Créteil,12 rue Georges Enesco,,,94028,CRETEIL,01 57 02 67 74,http://cfaacademique.ac-creteil.fr,cfa-academique@ac-creteil.fr
32032408T,0942217Z,CFA INFA,5 et 9 rue Anquetil,,,94052,NOGENT SUR MARNE,01 45 14 46 55,www.infa-formation.com,cfa.info@infa-formation.com
32032408T,0951721E,CFA CCIV - GESCIA,14 place du Cardinal Mercier,,,95210,ENGHIEN LES BAINS,01 30 10 80 95,www.ifa-salvi.fr,pierre.salvi@versailles.cci.fr
32032606T,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32032606T,0755432X,CFA INSTA,37 bis rue des Trois Bornes,,,75101,PARIS,01 43 41 72 50,www.insta.fr,r.lebib@insta.fr
32032607R,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32032607R,0755432X,CFA INSTA,37 bis rue des Trois Bornes,,,75101,PARIS,01 43 41 72 50,www.insta.fr,r.lebib@insta.fr
32032607R,0912119J,CFA EVE,48 Cours Blaise Pascal,,,91228,EVRY,01 60 79 54 00,www.cfa-eve.fr,cfa@cfa-eve.fr
32032608T,0752314H,CFA Public Dorian,74 avenue Philippe Auguste,,,75111,PARIS,01 44 93 81 36,www.lycee-dorian.org,l.valls@wanadoo.fr
32032608T,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32032608T,0754679D,CFA SACEF,8 Rue d'Athènes,,,75114,PARIS,01 78 09 88 51,www.cfasacef.fr,contacts@cfasacef.fr
32032608T,0755197S,CFA IMC,5 rue Saint-Denis,,,75101,PARIS,01 53 32 53 00,www.imc-randstad.fr,dehbia.hammouchene@imc.randstad.fr
32032608T,0755432X,CFA INSTA,37 bis rue des Trois Bornes,,,75101,PARIS,01 43 41 72 50,www.insta.fr,r.lebib@insta.fr
32032608T,0772742M,CFA  CCI de Seine et Marne,Boulevard Olof Palme,MARNE LA VALLEE,,77169,EMERAINVILLE,08 10 00 11 70,www.cfautec.fr,contact@cfautec.fr
32032608T,0781809T,CFA CCIV - Centre R. DELOROZOY,7 avenue des Trois Peuples,,,78423,MONTIGNY LE BRETONNEUX,01 30 48 80 00,www.ifa.delorozoy.fr,
32032608T,0783430E,CFA en Mouvement,23 rue Fernand Pelloutier,,,92024,CLICHY,01 41 40 07 95,www.cfa-academique-en-mouvement.fr,cfa.enmouvement@ac-versailles.fr
32032608T,0912140G,CFA Gustave Eiffel,30 route de Longjumeau,,,91161,CHILLY MAZARIN,01 69 74 15 50,www.centregustaveeiffel.net,centre.gustave.eiffel@centre-gustave-eiffel.com
32032608T,0912267V,CFA FDME,3 Chemin de la Grange Feu Louis,,,91228,EVRY,01 60 79 74 00,www.essonne.fac-metiers.fr,infos@fdme91.fr
32032608T,0922675H,CFA AFORP,34 avenue Charles de Gaulle,,,92051,NEUILLY SUR SEINE,01 55 24 22 60,www.aforp.fr,p.pabeau@aforp.fr
32032608T,0942202H,CFA de l'Académie de Créteil,12 rue Georges Enesco,,,94028,CRETEIL,01 57 02 67 74,http://cfaacademique.ac-creteil.fr,cfa-academique@ac-creteil.fr
32032608T,0951721E,CFA CCIV - GESCIA,14 place du Cardinal Mercier,,,95210,ENGHIEN LES BAINS,01 30 10 80 95,www.ifa-salvi.fr,pierre.salvi@versailles.cci.fr
32032608T,0951798N,CFA CCIV - ITESCIA,8 rue Pierre de Coubertin,,,95500,PONTOISE,01 30 75 36 14,www.escia.fr,gdeunf@escia.fr
32033001P,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32033001P,0754850P,CFA PAE,94 avenue Gambetta,,,75120,PARIS,01 44 62 41 48,www.cfa-pae.org,ce.cfa@ac-paris.fr
32033001P,0783593G,CFA V3A,19 avenue du Centre,,,78297,GUYANCOURT,01 30 83 42 60,www.ac-versailles.fr/cfav3a,cfav3a@ac-versailles.fr
32033001P,0942217Z,CFA INFA,5 et 9 rue Anquetil,,,94052,NOGENT SUR MARNE,01 45 14 46 55,www.infa-formation.com,cfa.info@infa-formation.com
32033104S,0754850P,CFA PAE,94 avenue Gambetta,,,75120,PARIS,01 44 62 41 48,www.cfa-pae.org,ce.cfa@ac-paris.fr
32033107W,0751457B,CFA de l'optique - AEPO,163 rue de Sèvres,,,75115,PARIS,01 47 34 23 89,www.aepo-optique.com/,admission@aepo-optique.com
32033107W,0754850P,CFA PAE,94 avenue Gambetta,,,75120,PARIS,01 44 62 41 48,www.cfa-pae.org,ce.cfa@ac-paris.fr
32033107W,0783430E,CFA en Mouvement,23 rue Fernand Pelloutier,,,92024,CLICHY,01 41 40 07 95,www.cfa-academique-en-mouvement.fr,cfa.enmouvement@ac-versailles.fr
32033107W,0922661T,CFA des Métiers de la Santé et de la Solidarité,15 rue Aristide Briand,,,92044,LEVALLOIS PERRET,01 45 61 17 89,www.cfa-sante.fr,cfa@cfa-sante.fr
32033109S,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32033109S,0780293V,"CFA Pharmacie, Santé, Sanitaire et Social",Le Technoparc,14 rue Gustave Eiffel,,78498,POISSY,01 39 22 10 60,www.acppav.org,informations@acppav.org
32033110S,0780424M,CFA CMA du 78,17 avenue du Général Mangin,,,78646,VERSAILLES,01 39 55 15 23,www.cfa-cmy.fr,infoconseil@cfa-cmy.fr
32033205T,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32033205T,0754989R,CFA de l' ADAPSS,127 avenue d'Italie,,,75113,PARIS,01 42 02 10 74,www.adapss.fr,cfa@adapss-idf.fr
32033414P,0752206R,CFA Stephenson,48 rue Stephenson,,,75118,PARIS,01 44 92 88 88,www.cfa-stephenson.fr,recrute@cfa-stephenson.fr
32033414P,0752830U,CFA des Métiers de la Table,17 rue Jacques Ibert,,,75117,PARIS,01 44 09 12 00,www.epmtth.org,h.sauvage@epmtth.org
32033414P,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32033414P,0772742M,CFA  CCI de Seine et Marne,Boulevard Olof Palme,MARNE LA VALLEE,,77169,EMERAINVILLE,08 10 00 11 70,www.cfautec.fr,contact@cfautec.fr
32033414P,0782093B,CFA TRAJECTOIRE,Place François Rabelais,BP 67,,78297,GUYANCOURT,01 30 96 12 35,www.cfa-trajectoire-hotellerie.ac-versailles.fr,cfa.tj@laposte.net
32033415T,0751510J,CFA Méderic,20 rue Méderic,,,75117,PARIS,01 42 12 62 12,www.cfamederic.com,inscription@cfamederic.com
32033415T,0752280W,CFA CCIP - FERRANDI Paris,28 rue de l'Abbé Grégoire,,,75111,PARIS,01 49 54 28 17,www.ferrandi-paris.fr,cconansignor@cci-paris-idf.fr
32033415T,0752830U,CFA des Métiers de la Table,17 rue Jacques Ibert,,,75117,PARIS,01 44 09 12 00,www.epmtth.org,h.sauvage@epmtth.org
32033415T,0753007L,CFA Public Belliard,135 rue Belliard,,,75118,PARIS,01 40 25 93 64,lyc-belliard.ac-paris.fr ,rene.le-joncour@ac-paris.fr
32033415T,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32033415T,0772742M,CFA  CCI de Seine et Marne,Boulevard Olof Palme,MARNE LA VALLEE,,77169,EMERAINVILLE,08 10 00 11 70,www.cfautec.fr,contact@cfautec.fr
32033415T,0780851B,CFA CCIP - TECOMAH,Chemin de l'Orme Rond,,,78322,JOUY EN JOSAS,01 39 67 12 00,www.tecomah.fr,tecomah@ccip.fr
32033415T,0782093B,CFA TRAJECTOIRE,Place François Rabelais,BP 67,,78297,GUYANCOURT,01 30 96 12 35,www.cfa-trajectoire-hotellerie.ac-versailles.fr,cfa.tj@laposte.net
32033415T,0783430E,CFA en Mouvement,23 rue Fernand Pelloutier,,,92024,CLICHY,01 41 40 07 95,www.cfa-academique-en-mouvement.fr,cfa.enmouvement@ac-versailles.fr
32033415T,0932217E,CFA CEFAA,Avenue Jean Fourgeaud,,,93078,VILLEPINTE,01 49 63 42 42,www.cefaa.net,contact@cefaa.net
32033415T,0942202H,CFA de l'Académie de Créteil,12 rue Georges Enesco,,,94028,CRETEIL,01 57 02 67 74,http://cfaacademique.ac-creteil.fr,cfa-academique@ac-creteil.fr
32033417W,0772742M,CFA  CCI de Seine et Marne,Boulevard Olof Palme,MARNE LA VALLEE,,77169,EMERAINVILLE,08 10 00 11 70,www.cfautec.fr,contact@cfautec.fr
32033418T,0772742M,CFA  CCI de Seine et Marne,Boulevard Olof Palme,MARNE LA VALLEE,,77169,EMERAINVILLE,08 10 00 11 70,www.cfautec.fr,contact@cfautec.fr
32033418T,0951721E,CFA CCIV - GESCIA,14 place du Cardinal Mercier,,,95210,ENGHIEN LES BAINS,01 30 10 80 95,www.ifa-salvi.fr,pierre.salvi@versailles.cci.fr
32033419T,0772742M,CFA  CCI de Seine et Marne,Boulevard Olof Palme,MARNE LA VALLEE,,77169,EMERAINVILLE,08 10 00 11 70,www.cfautec.fr,contact@cfautec.fr
32033420M,0752206R,CFA Stephenson,48 rue Stephenson,,,75118,PARIS,01 44 92 88 88,www.cfa-stephenson.fr,recrute@cfa-stephenson.fr
32033420M,0755112Z,CFA des Métiers du Tourisme,24 rue Stéphenson,,,75118,PARIS,01 48 77 53 83,www.cfa-tourisme.org,info@cfa-tourisme.org
32033420M,0772742M,CFA  CCI de Seine et Marne,Boulevard Olof Palme,MARNE LA VALLEE,,77169,EMERAINVILLE,08 10 00 11 70,www.cfautec.fr,contact@cfautec.fr
32033420M,0912267V,CFA FDME,3 Chemin de la Grange Feu Louis,,,91228,EVRY,01 60 79 74 00,www.essonne.fac-metiers.fr,infos@fdme91.fr
32033602T,0750739W,CFA Ambroise Croisat,27 Boulevard Ney,,,75118,PARIS,01 40 36 00 88,www.cfacroisat.fr,contact@cfacroisat.fr
32033602T,0782090Y,CFA CCIV - ISIPCA,34 - 36 rue du Parc de Clagny,,,78646,VERSAILLES,01 39 23 70 00,www.isipca.fr,info@isipca.fr
32033602T,0783593G,CFA V3A,19 avenue du Centre,,,78297,GUYANCOURT,01 30 83 42 60,www.ac-versailles.fr/cfav3a,cfav3a@ac-versailles.fr
32033602T,0922275Y,CFA IFPM,4 boulevard du Levant,,,92050,NANTERRE,01 41 20 90 00,www.ifpm.com,s.le-miere@ifpm.com
32033602T,0951963T,CFA CMA 95,1 Avenue du parc,,,95500,CERGY,01 34 35 80 30,www.ima95.fr,
32033603T,0951963T,CFA CMA 95,1 Avenue du parc,,,95500,CERGY,01 34 35 80 30,www.ima95.fr,
32034301M,0922292S,CFA AFI 24 Ile de France,Immeuble KUPKA A,18 rue Hoche,,92062,PARIS LA DEFENSE,01 49 67 03 00,www.afi24.org,info@afi24.org
32034301M,0951938R,CFA Institut de l'Environnement Urbain,Campus Veolia Environnement,rue d'Ecancourt,,95323,JOUY LE MOUTIER,01 34 32 78 00,www.campus.veolia.com,isabelle.moura@veolia.com
32034302R,0781897N,CFA CCIV - ITEDEC,21 rue Chantier d'Hérubé,,,78029,AUBERGENVILLE,,www.ifabtp.fr,
32034302R,0941925G,CFA Environnement et Hygiène des Locaux,34 bd Maxime Gorki,,,94076,VILLEJUIF,01 46 77 40 40,www.inhni.com,j.mongodin@inhni.com
32034304R,0941925G,CFA Environnement et Hygiène des Locaux,34 bd Maxime Gorki,,,94076,VILLEJUIF,01 46 77 40 40,www.inhni.com,j.mongodin@inhni.com
32122301V,0750765Z,CFA de la Bijouterie Joaillerie,58  rue du Louvre,,,75102,PARIS,01 40 26 98 34,www.bjop-france.com,n.harik@bjop.fr
32132301V,0932342R,CFA des Arts du Cirque,rue des Cheminots,Quartier Landy-France,,93900,LA PLAINE ST DENIS,01 49 46 00 00,www.academie-fratellini.com/,contact@academie-fratellini.com
32321004M,0782113Y,CFA  CEZ,Bergerie Nationale,Parc du Château,,78517,RAMBOUILLET,01 61 08 68 10,www.bergerie-nationale.educagri.fr/cfa.htm,cfa.rambouillet@educagri.fr
32321013W,0754458N,CFA CERFAL,2 rue Lacaze,,,75114,PARIS,01 40 52 77 10,www.cerfal-apprentissage.fr,d.g@cerfal.fr
32321013W,0781779K,CFA des Métiers de l'Horticulture et du Cheval,Route Forestière des Princesses,,,78551,ST GERMAIN EN LAYE,01 30 87 18 30,www.cfahorticheval.com,helene.dhaussy@educagri.fr
32321013W,0783606W,CFA des Métiers de l'Agriculture - ADAFA,3 Passage Saint-Pierre,,,78646,VERSAILLES,01 39 49 10 50,www.adafa.fr,odile.ischwall@adafa.fr
32321401M,0771817G,CFA la Bretonnière,Lycée Agricole LA Bretonnière,,,77070,CHAILLY EN BRIE,01 64 75 87 60,www.labretonniere.fr,andre.grimault@educagri.fr
32321401M,0781779K,CFA des Métiers de l'Horticulture et du Cheval,Route Forestière des Princesses,,,78551,ST GERMAIN EN LAYE,01 30 87 18 30,www.cfahorticheval.com,helene.dhaussy@educagri.fr
32321401M,0783606W,CFA des Métiers de l'Agriculture - ADAFA,3 Passage Saint-Pierre,,,78646,VERSAILLES,01 39 49 10 50,www.adafa.fr,odile.ischwall@adafa.fr
32322113M,0754815B,CFA IFRIA Ile de France,"44, rue d'Alésia",,,75114,PARIS,01 53 91 45 15,idf.ifria-apprentissage.fr/,iledefrance.ifria@gmail.com
32334301M,0754850P,CFA PAE,94 avenue Gambetta,,,75120,PARIS,01 44 62 41 48,www.cfa-pae.org,ce.cfa@ac-paris.fr
32334302M,0780851B,CFA CCIP - TECOMAH,Chemin de l'Orme Rond,,,78322,JOUY EN JOSAS,01 39 67 12 00,www.tecomah.fr,tecomah@ccip.fr
33633501T,0754718W,CFA de l'ARFA,29 rue David d'Angers,,,75116,PARIS,01 42 45 92 30,www.arfa-idf.asso.fr,contact@arfa-idf.asso.fr
33633502P,0754718W,CFA de l'ARFA,29 rue David d'Angers,,,75116,PARIS,01 42 45 92 30,www.arfa-idf.asso.fr,contact@arfa-idf.asso.fr
33633502P,0782110V,CFA Omnisports ,"4 , bis avenue Kennedy",,,78551,ST GERMAIN EN LAYE,01 39 10 97 97,www.cfaomnisports.fr,cfa@cfaomnisports.fr
34631001M,0772690F,CFA CMA de la Seine et Marne ,4 avenue du Général Leclerc,Château Gruber,,77288,MELUN,01 64 79 26 00,www.cma77.fr,dfp@cma77.fr
34631001M,0780424M,CFA CMA du 78,17 avenue du Général Mangin,,,78646,VERSAILLES,01 39 55 15 23,www.cfa-cmy.fr,infoconseil@cfa-cmy.fr
34631001M,0941940Y,CFA CMA du 94,25 avenue Raspail,,,94068,ST MAUR DES FOSSES,01 49 76 50 28,cfa94.com,cpichot@cma94.com
34631003M,0781897N,CFA CCIV - ITEDEC,21 rue Chantier d'Hérubé,,,78029,AUBERGENVILLE,,www.ifabtp.fr,
34631003M,0932469D,CFA du Conservatoire National des Arts et Métiers - CNAM,61 rue Landy,,,93066,LA PLAINE ST DENIS,01 58 80 88 00,cfa-idf.cnam.fr,recrutement@cfa.idf.cnam.fr
34632501T,0932305A,CFA du Spectacle Vivant et de l'Audiovisuel,92 avenue Galliéni,,,93006,BAGNOLET,01 48 97 25 16,cfaduspectacle@cfpts.com,pferrier@cfpts.com
35011101F,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35011102F,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35011501F,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35011601A,0922292S,CFA AFI 24 Ile de France,Immeuble KUPKA A,18 rue Hoche,,92062,PARIS LA DEFENSE,01 49 67 03 00,www.afi24.org,info@afi24.org
35020006R,0783560W,CFA CCIV - UVSQ,5-7 Bd d'Alembert,Bâtiment d'Alembert,,78297,GUYANCOURT,01 80 71 00 11,www.cfa.uvsq.fr,cfa.dalembert@uvsq.fr
35020006R,0922675H,CFA AFORP,34 avenue Charles de Gaulle,,,92051,NEUILLY SUR SEINE,01 55 24 22 60,www.aforp.fr,p.pabeau@aforp.fr
35020006R,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35020007P,0754927Y,CFA FORMASUP Paris,4 rue Blaise Desgoffe,,,75106,PARIS,01 53 63 53 50,www.formasup-paris.com,contact@formasup-paris.com
35020007P,0912119J,CFA EVE,48 Cours Blaise Pascal,,,91228,EVRY,01 60 79 54 00,www.cfa-eve.fr,cfa@cfa-eve.fr
35020008P,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35020105M,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35020106R,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35022701M,0772468P,CFA Descartes ,"4, 6 allée Kepler - ",Parc de la Haute Maison,,77083,CHAMPS SUR MARNE,01 64 61 65 00,www.cfadescartes.com,cfadescartes@cfadescartes.fr
35022701M,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35023001M,0783560W,CFA CCIV - UVSQ,5-7 Bd d'Alembert,Bâtiment d'Alembert,,78297,GUYANCOURT,01 80 71 00 11,www.cfa.uvsq.fr,cfa.dalembert@uvsq.fr
35023001M,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35025101M,0772447S,CFA Ingénieurs 2000,Parc de la Haute Maison,7 Allée Newton,,77083,CHAMPS SUR MARNE,01 60 95 81 32,www.ingenieurs2000.com,admission@ingenieurs2000.com
35025101M,0783560W,CFA CCIV - UVSQ,5-7 Bd d'Alembert,Bâtiment d'Alembert,,78297,GUYANCOURT,01 80 71 00 11,www.cfa.uvsq.fr,cfa.dalembert@uvsq.fr
35025101M,0912119J,CFA EVE,48 Cours Blaise Pascal,,,91228,EVRY,01 60 79 54 00,www.cfa-eve.fr,cfa@cfa-eve.fr
35025101M,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35025502M,0772447S,CFA Ingénieurs 2000,Parc de la Haute Maison,7 Allée Newton,,77083,CHAMPS SUR MARNE,01 60 95 81 32,www.ingenieurs2000.com,admission@ingenieurs2000.com
35025502M,0912021C,CFA UNION,Pôle Universitaire d'Ingéniérie,Bâtiment 640,,91471,ORSAY,01 69 15 35 10,www.cfa-union.u-psud.fr,cfa-union@u-psud.fr
35025502M,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35025503M,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35025505M,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35025506M,0941939X,CFA SUP 2000,Moulin de la Chaussée ,Place Jean Jaurès,,94069,ST MAURICE,01 43 53 68 00,www.cfasup2000.net,contact@cfasup2000.fr
35031001T,0755088Y,CFA Université et Sports,66 rue d'Assas,,,75106,PARIS,06 73 99 08 51,www.cfaunivsport.com,secretariat@cfaunivsport.com
35031001T,0912021C,CFA UNION,Pôle Universitaire d'Ingéniérie,Bâtiment 640,,91471,ORSAY,01 69 15 35 10,www.cfa-union.u-psud.fr,cfa-union@u-psud.fr
